Common name,Taxonomy,Reef safe,Description,Max size,Salinity,Tank size,Temperature range,pH range,GH,KH,Nitrate,Dissolved Oxygen,Calcium,Magnesium,Phosphate,Alkalinity
"Blue ring angelfish, annularis angelfish",Pomacanthus annularis,No,,30 cm (11.8 in),,,,,,,,,,,,
"Arabian angelfish, Asfur angelfish",Pomacanthus asfur,No,,40 cm (15.7 in),,,,,,,,,,,,
Bellus angelfish,Genicanthus bellus,Yes,"Light blue all over. Exhibits strong sexual dimorphism: females have wide black bands, males' bands are orange.",18 cm (7.1 in),,,,,,,,,,,,
Blue angelfish,Holacanthus bermudensis,No,"Blue Angelfish has an overall aqua hue with a yellow shimmer and yellow edges on the fins and scales. The Blue Angelfish does not have the striking blue crown or other blue highlights of the Queen Angelfish. This species has been known to reproduce with the Queen Angelfish, making a half breed that looks like a mixture between the two species.",45 cm (17.7 in),,,,,,,,,,,,
Bluespotted angelfish,Chaetodontoplus caeruleopunctatus,No,,21 cm (8.3 in),,,,,,,,,,,,
Blueface angelfish,Pomacanthus xanthometopon,With Caution,,40 cm (15.7 in),,,,,,,,,,,,
Cortez angelfish,Pomacanthus zonipectus,No,Darkly hued with yellow stripes.,46 cm (18.1 in),,,,,,,,,,,,
Emperor angelfish,Pomacanthus imperator,No,"Juveniles are black with blue-white spiraling; adults are blue with yellow stripes, accented with white and black and a blue mask. Will easily be the dominant angelfish if housed with other angels.",40 cm (15.7 in),,,,,,,,,,,,
French angelfish,Pomacanthus paru,No,"Juveniles are black with 3 yellow vertically running stripes, may also display blue on pelvic fins. Adults lard black with white vertical stripes.",41 cm (16.1 in),,,,,,,,,,,,
Gray angelfish,Pomacanthus arcuatus,No,Light grey with dark spots and bluish/grey mask over face. Closely related to French Angelfish.,60 cm (23.6 in),,,,,,,,,,,,
Griffis angelfish,Apolemichthys griffisi,No,"An ashen white angel with thick black bands and spots, it is a rare find within the aquarium trade.",25 cm (9.8 in),,,,,,,,,,,,
"Half-moon angelfish, Yellow bar angelfish",Pomacanthus maculosus,No,Blue with yellow splotch-like marking on side.,50 cm (19.7 in),,,,,,,,,,,,
Koran angelfish,Pomacanthus semicirculatus,No,"Grey towards the face, becoming a navy blue towards the caudal fin with striking iridescent blue accents throughout.",40 cm (15.7 in),,,,,,,,,,,,
Majestic angelfish or blue girdled angelfish,Pomacanthus navarchus,No,"Yellow dorsal and caudal fins connecting to ""saddal"" with dark blue dots. Dark blue underside and anal fin. Electric blue separating yellow and dark blue.",30 cm (11.8 in),,,,,,,,,,,,
Passer angelfish or King angelfish,Holacanthus passer,No,Very dark blue with yellow caudal fin and distinctive white stripe.,36 cm (14.2 in),,,,,,,,,,,,
Personifer angelfish or Queensland yellowtail angelfish,Chaetodontoplus meridithii,No,,37 cm (14.6 in),,,,,,,,,,,,
Queen angelfish,Holacanthus ciliaris,No,"Tan coloured with yellow caudal fin and neon blue outlined fins. This species has been known to reproduce with the Blue Angelfish, making a half breed that looks like a mixture between the two species.",45 cm (17.7 in),,,,,,,,,,,,
Rock beauty,Holacanthus tricolor,No,,25 cm (9.8 in),,,,,,,,,,,,
Royal angelfish,Pygoplites diacanthus,No,Orange and blue striped with dark blue dorsal fin and lemon yellow caudal fin.,25 cm (9.8 in),,,,,,,,,,,,
Scribbled angelfish,Chaetodontoplus duboulayi,No,,25 cm (9.8 in),,,,,,,,,,,,
Japanese swallow angelfish,Genicanthus semifasciatus,Yes,"Black and tan striped back with yellow blaze beginning at the mouth and tapering off towards the centre of the side, with light blueish grey underside. Has distinctively shaped tail resembling that of a swallow.",21 cm (8.3 in),,,,,,,,,,,,
Yellowtail angelfish,Apolemichthys xanthurus,No,,15 cm (5.9 in),,,,,,,,,,,,
Barred angelfish,Centropyge multifasciata,With caution,White fish with vertical black stripes that change to yellow at the belly,12 cm (4.7 in),,,,,,,,,,,,
Bicolor angelfish,Centropyge bicolor,With caution,,15 cm (5.9 in),,,,,,,,,,,,
Blue Velvet Angelfish,Centropyge deborae,,,,,,,,,,,,,,,
Brazilian flameback angelfish,Centropyge aurantonotus,With caution,,8 cm (3.1 in),,,,,,,,,,,,
Coral beauty angelfish,Centropyge bispinosa,With caution,Reddish body with blue back and orange fins. A shy fish that prefers multiple hiding locations.,10 cm (3.9 in),,,,,,,,,,,,
Cherubfish or Pygmy angelfish,Centropyge argi,With caution,Blue colored body with an orange yellow head.,8 cm (3.1 in),,,,,,,,,,,,
Eibli angelfish,Centropyge eibli,With caution,"Tan coloured body with vertical brown stripes and large distinctive black splotch covering the back of the fish, including the caudal fin.",15 cm (5.9 in),,,,,,,,,,,,
Flame angelfish,Centropyge loricula,Yes,Vivid orange-red with vertical black stripes and blue patches toward the end of the dorsal and anal fins.,15 cm (5.9 in),,,,,,,,,,,,
Pearlscale angelfish,Centropyge vroliki,With caution,"Anterior is gray to pearly white with orange accent around eye, posterior is deep black.",12 cm (4.7 in),,,,,,,,,,,,
Herald's angelfish,Centropyge heraldi,With caution,"Completely lemon yellow, with a brown marking around the eye.",10 cm (3.9 in),,,,,,,,,,,,
Keyhole angelfish,Centropyge tibicen,No,"Centropyge type species. Overall black with an elongate vertical black blotch on the middle of the upper sides. When small, mainly black with a white bar. Dorsal and anal fins with submarginal blue line; most of the pelvic and the anterior portion of the anal fin yellow. Caudal fin with submarginal blue line.",19 cm (7.5 in),,,,,,,,,,,,
Lemonpeel angelfish,Centropyge flavissima,With caution,Bright yellow with distinctive dark semicircle by operculum.,14 cm (5.5 in),,,,,,,,,,,,
Multicolor angelfish,Centropyge multicolor,With caution,,9 cm (3.5 in),,,,,,,,,,,,
Orange-back angelfish,Centropyge acanthops,With caution,"Dark blue with golden yellow blaze running from the face down the dorsal fin, with a colourless caudal fin.",8 cm (3.1 in),,,,,,,,,,,,
